txn_id,customer,amount,notes
1,cust_1,101,ok
2,cust_2,102,ok
3,cust_3,103,
4,cust_4,104,ok
5,cust_5,105,ok
6,cust_6,106,
7,cust_0,107,ok
8,cust_1,108,ok
9,cust_2,109,
10,cust_3,110,ok
11,cust_4,111,ok
12,cust_5,112,
13,cust_6,113,ok
14,cust_0,114,ok
15,cust_1,115,
16,cust_2,116,ok
17,cust_3,117,ok
18,cust_4,118,
19,cust_5,119,ok
20,cust_6,120,ok
21,cust_0,121,
22,cust_1,122,ok
23,cust_2,123,ok
24,cust_3,124,
25,cust_4,125,ok
26,cust_5,126,ok
27,cust_6,127,
28,cust_0,128,ok
29,cust_1,129,ok
30,cust_2,130,
31,cust_3,131,ok
32,cust_4,132,ok
33,cust_5,133,
34,cust_6,134,ok
35,cust_0,135,ok
36,cust_1,136,
37,cust_2,137,ok
38,cust_3,138,ok
39,cust_4,139,
40,cust_5,140,ok
41,cust_1,9999999,outlier row
1,cust_1,101,ok
