row_id,label,region,amount,units
1,item_01,South,101,11
2,item_02,East,102,12
3,item_03,West,103,13
4,item_04,North,104,14
5,item_05,South,105,10
6,item_06,East,106,11
7,item_07,West,107,12
8,item_08,North,108,13
9,item_09,South,109,14
10,item_10,East,110,10
11,item_11,West,111,11
12,item_12,North,112,12
13,item_13,South,113,13
14,item_14,East,114,14
15,item_15,West,115,10
16,item_16,North,116,11
17,item_17,South,117,12
18,item_18,East,118,13
19,item_19,West,119,14
20,item_20,North,120,10
21,item_21,South,121,11
22,item_22,East,122,12
23,item_23,West,123,13
24,item_24,North,124,14
