record_id,region,channel,segment,owner,metric_01,metric_02,metric_03,metric_04,metric_05,metric_06,metric_07,metric_08,metric_09,metric_10,metric_11,metric_12,metric_13
1,South,retail,mid,owner_1,1625.93,762.74,3258.16,371.46,2684.05,1834.79,299.41,2542.1,197.1,2173.89,358.58,462.66,2128.35
2,East,online,enterprise,owner_2,4135.99,627.77,1123.96,3140.89,4739.07,2889.74,1989.44,4881.51,242.45,4293.76,1455.15,729.83,597.78
3,West,retail,smb,owner_3,1549.32,4082.47,911.82,2912.18,3198.18,1868.26,2743.24,323.32,307.41,1037.73,3405.2,2143.69,1577.59
4,North,online,mid,owner_4,2931.95,2271.39,1505.84,3973.95,3497.98,1228.04,2876.37,2630.73,4376.94,3649.93,1446.81,4901.07,599.15
5,South,retail,enterprise,owner_0,2096.43,3788.13,768.4,2449.93,205.64,3344.4,3825.21,2869.4,4378.63,1575.6,3479.52,2975.91,2903.68
6,East,online,smb,owner_1,2286.46,4201.44,4723.96,2375.75,3324.12,312.74,3510.45,3239.17,4965.55,4111.4,1430.13,1935.1,3346.58
7,West,retail,mid,owner_2,122.59,2313.86,848.56,594.31,304.18,3843.48,655.41,1245.6,1960.84,4358.4,412.1,2251.45,2751.71
8,North,online,enterprise,owner_3,4418.09,4098.21,4321.28,1399.32,2082.33,1800.27,4422.12,4789.08,763.1,889.33,1167.46,1174.35,2429.96
9,South,retail,smb,owner_4,2949.73,1321.11,30.43,2100.54,1852.58,2836.04,4765.96,3455.56,2582.3,3091.79,3384.24,279.42,4498.67
10,East,online,mid,owner_0,3902.05,4373.82,3991.39,1967.97,2000.9,526.65,3175.1,320.62,346.06,1051.73,819.89,1706.87,272.35
11,West,retail,enterprise,owner_1,11.16,764.81,516.31,1824.41,137.25,4372.92,3074.2,751.27,1268.77,1743.47,1827.18,622.98,4246.2
12,North,online,smb,owner_2,4965.58,2335.29,2424.33,438.56,519.92,1719.75,1331.14,4145.99,815.58,125.25,4755.42,2646.0,741.55
13,South,retail,mid,owner_3,2720.43,144.94,2645.27,4892.72,4317.99,3484.02,1312.96,1839.83,843.54,3861.97,2667.64,3897.48,1655.03
14,East,online,enterprise,owner_4,1122.98,4059.44,4924.78,4264.62,4032.33,4093.48,3701.97,1141.43,2593.02,1784.26,154.61,149.41,1404.3
15,West,retail,smb,owner_0,1303.28,3465.68,4783.01,2241.67,4685.74,4940.31,4775.45,1829.53,1110.11,1141.96,991.56,1029.82,3124.09
16,North,online,mid,owner_1,4502.54,4203.77,2402.57,3268.36,4000.22,433.04,3306.32,4549.79,3913.69,3753.2,2395.38,900.82,3947.79
17,South,retail,enterprise,owner_2,1669.26,4006.11,4858.57,1985.23,2012.92,4734.52,3626.75,858.32,643.92,764.24,4525.21,4034.44,739.41
18,East,online,smb,owner_3,4134.29,4901.73,3289.77,1758.53,2747.81,663.61,81.07,4854.74,3251.88,2637.64,4668.79,2174.71,4360.0
19,West,retail,mid,owner_4,4132.51,1063.1,1266.66,1471.9,1210.29,2936.32,1304.23,2100.87,664.06,4550.99,1775.38,2296.22,2920.91
20,North,online,enterprise,owner_0,4522.44,2108.94,4589.43,2513.23,2663.81,2622.3,103.34,2206.22,923.71,29.62,3997.86,870.01,2372.73
21,South,retail,smb,owner_1,3628.71,2786.81,1636.65,2596.56,2781.65,3923.52,539.49,2805.88,1249.99,1391.82,3863.58,2543.49,2813.03
22,East,online,mid,owner_2,3802.37,4563.32,2221.81,3066.51,2532.71,2565.69,3466.73,2267.21,2671.09,2395.4,4708.09,3499.1,4383.91
23,West,retail,enterprise,owner_3,4711.48,1305.37,2801.97,4716.9,4201.6,694.3,616.89,2216.17,372.01,1210.79,374.87,3350.67,3921.84
24,North,online,smb,owner_4,4486.16,780.69,3583.44,3304.68,723.47,4415.34,4838.05,1105.74,4763.0,1997.3,2441.43,4949.46,4163.9
25,South,retail,mid,owner_0,815.72,2163.29,2582.87,1702.19,986.77,1599.44,3613.53,107.22,2774.71,2207.89,100.23,1664.17,3123.4
26,East,online,enterprise,owner_1,2566.19,330.81,4925.57,3943.93,4858.76,532.85,1335.17,207.55,3897.2,1359.53,656.48,2117.05,4557.95
27,West,retail,smb,owner_2,4096.71,1300.46,755.35,4596.67,2857.27,3505.08,456.42,297.06,3444.15,2132.33,371.35,4692.37,3175.85
28,North,online,mid,owner_3,4010.13,427.88,4282.58,342.45,4315.25,2274.33,1702.37,2769.79,4634.08,1346.62,654.83,2639.31,1199.8
29,South,retail,enterprise,owner_4,556.16,815.63,261.39,1016.82,1566.84,1531.98,3799.9,1456.9,2505.44,897.72,1741.54,100.63,1259.74
30,East,online,smb,owner_0,86.58,3668.07,2759.74,955.39,2379.06,4673.87,540.34,4096.41,2166.57,2480.06,4174.72,1971.5,2538.36
31,West,retail,mid,owner_1,3441.83,4912.38,1720.1,4163.11,3536.56,3183.52,2029.44,1744.29,281.4,657.79,362.91,3707.04,1285.41
